Refineria,Producto,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018
Salina Cruz,    Gas Seco a,9.358076712,10.67655342,10.78496986,10.4350082,9.945024658,10.72442466,8.102175342,11.56672896,10.39196157,9.990501649,11.41632112,11.94508688,12.39152042,16.89163412,13.21066364,12.2983593,11.22055951,14.28044285,14.46340692,15.00871323,17.35577151,13.61342079,13.69962544,16.1957518,13.28322704,6.378327334
Salina Cruz,    Gas licuado,9.802556164,13.70131507,16.15806575,13.13204918,10.34531507,4.431920548,5.475621918,5.955320656,5.639634756,6.682773948,8.685905888,8.90736126,8.321067904,6.567755033,6.031555937,5.634961503,4.835033126,5.716616463,4.405890622,3.54090368,4.432078674,3.638352589,3.808634929,4.29217785,1.652132926,0.541338258
Salina Cruz,            Extra/Pemex Magna b,34.19783288,53.69614795,66.4866274,67.27171858,75.54240274,91.51932055,86.79153973,83.64192779,73.06717752,75.02609325,83.40047914,80.69356137,80.16763093,81.70420682,84.07567618,84.67517993,84.96589974,82.82853412,83.30433768,77.75494461,87.43664746,78.42524258,71.96326752,70.63845722,40.46877364,22.49148381
Salina Cruz,            Nova/Base c,61.75183836,45.79697808,33.22928219,32.76401639,18.60523014,6.852465753,7.143438356,3.665327568,5.499478551,3.270776877,0.740542532,1.842442869,1.659508038,0.247797353,0.330561551,2.656994355,0.277228312,0.970135663,0.414099288,0,0,0,0.39687674,0,0.433524247,0
Salina Cruz,            Pemex Premium,0,0,0,0,0.230928767,7.059169863,7.693769863,14.0497265,11.26494942,12.57689897,16.63599845,14.30376731,14.17663772,14.95326898,10.12094479,8.210636396,9.523380797,7.12657146,8.144691008,8.090385467,9.191652951,12.29441305,7.241070978,0.901794038,1.972108299,0.703901921
Salina Cruz,            Turbosina,16.32986027,16.3570137,19.7158137,18.65098634,13.14270959,12.08279178,14.49521918,15.63096169,14.97478596,17.09387098,16.17123618,14.8538125,14.3836147,15.30859906,16.5673396,17.0641573,14.89085641,13.29025161,16.10071019,11.75022425,16.68995804,14.98553759,14.67605603,13.43888416,6.603994137,4.639839608
Salina Cruz,            Otros querosenos,2.182208219,1.258361644,0.824939726,0.767551913,0.14729589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salina Cruz,    Diesel,60.07749589,60.87015342,56.74724658,61.76263388,60.02936986,72.25548767,65.51591507,59.90950868,63.37759013,58.73749144,67.6675281,64.13649068,65.92923361,63.65781793,58.17741535,63.13469743,64.36399884,59.64467028,61.24585421,55.26242695,59.02860585,56.37569581,48.36913596,45.63404677,24.23982876,12.05830513
Salina Cruz,    Combustóleo,107.4433589,105.0932192,109.7290384,109.7174699,98.3895863,116.2940916,124.2714178,116.866255,115.4398691,134.8241183,110.2254205,101.548229,99.21707264,94.99930644,90.88353345,92.35758739,95.1325029,93.46091798,93.8804804,86.05399166,101.17284,92.29134186,83.48493756,87.28892085,48.50761008,26.85624481
Salina Cruz,    Asfaltos,1.412980822,2.235715068,2.302164384,3.25439071,3.293926027,3.685224658,3.812991781,4.412243552,4.004165616,4.510162597,5.1366868,4.852925336,4.98212277,5.141976866,4.571890586,3.958542197,4.381125364,3.744935737,3.513536759,2.716192601,2.290756844,2.643174219,1.53875449,1.008119049,0.394056784,0
Salina Cruz,    Otros e,11.65206575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00029731,2.621493847,2.51445494,1.319105485,0.685477644
