"","Refineria","Crudo","Producto","pct","cap","value"
"175","Tula","Ligero","Combustoleo",20.6329269705505,315,64.9937199572342
"176","Tula","Ligero","Diesel",12.9250113140328,315,40.7137856392034
"177","Tula","Ligero","Gas licuado",2.52130570426978,315,7.94211296844981
"178","Tula","Ligero","Gas seco",2.00919755362396,315,6.32897229391549
"179","Tula","Ligero","Magna",19.4200086185601,315,61.1730271484643
"180","Tula","Ligero","Otras gasolinas",0.0267020772800785,315,0.0841115434322471
"181","Tula","Ligero","Otro",3.93700975873709,315,12.4015807400218
"182","Tula","Ligero","Otros querosenos",0.0901742402538939,315,0.284048856799766
"183","Tula","Ligero","Pemex Premium",0.256787630832619,315,0.80888103712275
"184","Tula","Ligero","Turbosina",5.20636110073414,315,16.4000374673125
"185","Tula","Pesado","Combustoleo",10.1409727309675,315,31.9440641025477
"186","Tula","Pesado","Diesel",6.35257360577747,315,20.010606858199
"187","Tula","Pesado","Gas licuado",1.23920820492055,315,3.90350584549973
"188","Tula","Pesado","Gas seco",0.987509800791178,315,3.11065587249221
"189","Tula","Pesado","Magna",9.5448298788176,315,30.0662141182754
"190","Tula","Pesado","Otras gasolinas",0.0131239274943374,315,0.0413403716071627
"191","Tula","Pesado","Otro",1.93501914012932,315,6.09531029140737
"192","Tula","Pesado","Otros querosenos",0.044320154515918,315,0.139608486725142
"193","Tula","Pesado","Pemex Premium",0.126209740655805,315,0.397560683065785
"194","Tula","Pesado","Turbosina",2.55889850361382,315,8.06053028638353
"195","Tula","Superligero","Combustoleo",0.00980440764572453,315,0.0308838840840323
"196","Tula","Superligero","Diesel",0.00614174033229751,315,0.0193464820467372
"197","Tula","Superligero","Gas licuado",0.00119808057089691,315,0.00377395379832528
"198","Tula","Superligero","Gas seco",0.00095473569429283,315,0.00300741743702241
"199","Tula","Superligero","Magna",0.00922804996361437,315,0.0290683573853853
"200","Tula","Superligero","Otras gasolinas",0.0000126883621996624,315,0.0000399683409289366
"201","Tula","Superligero","Otro",0.00187079848801617,315,0.00589301523725093
"202","Tula","Superligero","Otros querosenos",0.0000428492288977984,315,0.000134975071028065
"203","Tula","Superligero","Pemex Premium",0.000122021011107938,315,0.000384366184990004
"204","Tula","Superligero","Turbosina",0.00247397214439317,315,0.00779301225483849
